"Newsman","Newsman"
"General","Allmänt"
"Active","Aktiv"
"Send User IP Address","Skicka användarens IP-adress"
"Send user IP address to Newsman.","Skicka användarens IP-adress till Newsman."
"Disable or enable Newsman features.","Inaktivera eller aktivera Newsman-funktioner."
"API","API"
"User ID","Användar-ID"
"User Id","Användar-ID"
"User Id from your Newsman account.","Användar-ID från ditt Newsman-konto."
"API Key","API-nyckel"
"API Key from your Newsman account.","API-nyckel från ditt Newsman-konto."
"API Timeout","API-timeout"
"API HTTP request timeout in seconds. Minimum 5 seconds.","API HTTP-förfrågans timeout i sekunder. Minimum 5 sekunder."
"Synchronize Lists and Segments","Synkronisera listor och segment"
"Please import in Magento all lists and segments without subscribers from Newsman.","Importera i Magento alla listor och segment utan prenumeranter från Newsman."
"The lists and segments were synchronized.","Listorna och segmenten har synkroniserats."
"Something went wrong. Please try again.","Något gick fel. Försök igen."
"Please enter a valid Newsman user ID.","Ange ett giltigt Newsman-användar-ID."
"Please enter a valid Newsman API key.","Ange en giltig Newsman API-nyckel."
"List ID","List-ID"
"Segment ID","Segment-ID"

"All Newsman segments. Selecting a segment is not mandatory. The segment ID must match corresponding list ID.","Alla Newsman-segment. Att välja ett segment är inte obligatoriskt. Segment-ID måste matcha motsvarande list-ID."
"Please choose a list","Välj en lista"
"List ID is required.","List-ID krävs."
"Please choose a segment","Välj ett segment"
"Import your subscribers in your Newsman account from Magento admin.","Importera dina prenumeranter i ditt Newsman-konto från Magento-administrationen."
"Invalid email address %1","Ogiltig e-postadress %1"
"Developer","Utvecklare"
"Activate Test User IP","Aktivera test-användar-IP"
"Warning, do not use this IP address in production because it is used by API endpoint subscriber.saveSubscribe.","Varning, använd inte denna IP-adress i produktion eftersom den används av API-ändpunkten subscriber.saveSubscribe."
"Test User IP address","Test-användar-IP-adress"
"Valid user IP address.","Giltig användar-IP-adress."
"Server IP address","Serverns IP-adress"
"IP address of the server where Magento is hosted. It is used instead of users IP addresses.","IP-adress för servern där Magento är hostad. Den används istället för användarnas IP-adresser."
"Sorry, something went wrong during unsubscribe from newsletter. Please see log for details.","Tyvärr, något gick fel vid avprenumeration från nyhetsbrevet. Se loggen för detaljer."
"Newsletter unsubscribe from Newsman for %1 emails and unsubscribe in Magento","Nyhetsbrev avprenumeration från Newsman för %1 e-postadresser och avprenumeration i Magento"
"Newsletter unsubscribe from Newsman for %1 emails and delete subscribers in Magento","Nyhetsbrev avprenumeration från Newsman för %1 e-postadresser och radering av prenumeranter i Magento"
"Unsubscribe emails from Newsman newsletter and unsubscribe in Magento chunk %1","Avprenumerera e-postadresser från Newsman-nyhetsbrevet och avprenumerera i Magento batch %1"
"Unsubscribe emails from Newsman newsletter and delete subscriber chunk %1","Avprenumerera e-postadresser från Newsman-nyhetsbrevet och radera prenumerant batch %1"
"Something went wrong while processing the request.","Något gick fel vid behandling av förfrågan."
"A total of %1 record(s) were updated.","Totalt %1 post(er) uppdaterades."
"Something went wrong during unsubscribe.","Något gick fel vid avprenumeration."
"Message is added to queue","Meddelandet har lagts till i kön"
"Total of %1 record(s) were deleted.","Totalt %1 post(er) raderades."
"Logging Mode","Loggningsläge"
"None","Ingen"
"Errors","Fel"
"Info","Info"
"Warning","Varning"
"Debug","Felsökning"
"Try to subscribe email %1","Försöker prenumerera e-post %1"
"Subscribed email %1","E-post %1 prenumererad"
"Try to unsubscribe email %1","Försöker avprenumerera e-post %1"
"Unsubscribed email %1","E-post %1 avprenumererad"
"Executed Magento unsubscribe email %1","Magento-avprenumeration utförd för e-post %1"
"Executed Magento delete subscriber with email %1","Magento-radering av prenumerant med e-post %1 utförd"
"Export Newsletter Subscribers","Exportera nyhetsbrevsprenumeranter"
"Export","Exportera"
"The export of newsletter subscribers uses saved API list ID and segment ID configuration.<br />It exports the subscribers from all stores associated with current list ID.<br />Please save first the settings before exporting.","Exporten av nyhetsbrevsprenumeranter använder sparad API-list-ID och segment-ID-konfiguration.<br />Den exporterar prenumeranterna från alla butiker kopplade till aktuellt list-ID.<br />Spara först inställningarna innan du exporterar."
"%1 newsletter subscribers from list ""%2"" are being exported to Newsman.","%1 nyhetsbrevsprenumeranter från listan ""%2"" exporteras till Newsman."
"Bulk Actions Log","Logg för massåtgärder"
"Please visit","Besök"
"to see the status of the export.","för att se status för exporten."
"Export newsletter subscribers to list ""%1"", step %2.","Exportera nyhetsbrevsprenumeranter till listan ""%1"", steg %2."
"Export %1 newsletter subscribers to list ""%2""","Exportera %1 nyhetsbrevsprenumeranter till listan ""%2"""
"Sorry, something went wrong during subscribers export. Please see log for details.","Tyvärr, något gick fel vid export av prenumeranter. Se loggen för detaljer."
"Newsman API is not configured correctly for the stores %1. Found %2 configured user IDs: %3. There should be only one user ID.","Newsman API är inte korrekt konfigurerat för butikerna %1. Hittade %2 konfigurerade användar-ID:n: %3. Det bör bara finnas ett användar-ID."
"Try to export %1 subscribers to list %2","Försöker exportera %1 prenumeranter till lista %2"
"Exported %1 subscribers to list %2","%1 prenumeranter exporterade till lista %2"
"%1 | Try to unsubscribe email %2","%1 | Försöker avprenumerera e-post %2"
"%1 | Unsubscribed email %2","%1 | E-post %2 avprenumererad"
"List ID is empty.","List-ID är tomt."
"No Store IDs found for List ID %1.","Inga butiks-ID:n hittades för list-ID %1."
"Too many user IDs %1 in stores: %2.","För många användar-ID:n %1 i butiker: %2."
"Empty chunk size %1.","Tom batchstorlek %1."
"Empty step %1.","Tomt steg %1."
"%1 | Exporting %2 subscribers to Newsman, step %3, chunk size %4","%1 | Exporterar %2 prenumeranter till Newsman, steg %3, batchstorlek %4"
"%1 | Exported %2 subscribers to Newsman, step %3, chunk size %4","%1 | %2 prenumeranter exporterade till Newsman, steg %3, batchstorlek %4"
"Exporting in cron newsletter subscribers to Newsman for list ID %1.","Exporterar via cron nyhetsbrevsprenumeranter till Newsman för list-ID %1."
"Exported in cron newsletter subscribers to Newsman for list ID %1.","Nyhetsbrevsprenumeranter exporterade via cron till Newsman för list-ID %1."
"Something went wrong. Please try again later.","Något gick fel. Försök igen senare."
"Email not found in webhook data","E-post hittades inte i webhook-data"
"Something went wrong unsubscribing email %1. Please try again later.","Något gick fel vid avprenumeration av e-post %1. Försök igen senare."
"Something went wrong subscribing email %1. Please try again later.","Något gick fel vid prenumeration av e-post %1. Försök igen senare."
"Unknown webhook type %1","Okänd webhook-typ %1"
"Subscriber not found for email %1","Prenumerant hittades inte för e-post %1"
"Processing webhook data for store %1","Bearbetar webhook-data för butik %1"
"Newsletter","Nyhetsbrev"
"Send Subscribe/Unsubscribe Emails From Newsman","Skicka prenumerations-/avprenumerationsmail från Newsman"
"Newsman sends the emails subscribe to newsletter confirmation and unsubscribe from newsletter.","Newsman skickar e-postmeddelanden för bekräftelse av nyhetsbrevsprenumeration och avprenumeration."
"Try to init subscribe email %1","Försöker initiera prenumerationsmail %1"
"Init subscribe successful for email %1","Initiering av prenumeration lyckades för e-post %1"
"Try to init unsubscribe email %1","Försöker initiera avprenumerationsmail %1"
"Init unsubscribed successful for email %1","Initiering av avprenumeration lyckades för e-post %1"
"Created subscriber with email %1","Prenumerant skapad med e-post %1"
"Processing fetch data for store %1","Bearbetar hämtad data för butik %1"
"No store IDs found for retriever","Inga butiks-ID:n hittades för hämtaren"
"Export order %1","Exportera order %1"
"Exported order %1","Order %1 exporterad"
"Export product %1, store ID %2","Exportera produkt %1, butiks-ID %2"
"Exported product %1, store ID %2","Produkt %1 exporterad, butiks-ID %2"
"Export orders %1, %2, storeIds %3","Exportera ordrar %1, %2, storeIds %3"
"Exported orders %1, %2, store IDs %3: %4","Ordrar %1, %2 exporterade, butiks-ID:n %3: %4"
"Export products %1, %2, storeIDs %3","Exportera produkter %1, %2, storeIDs %3"
"Exported products %1, %2, storeIDs %3: %4","Produkter %1, %2 exporterade, storeIDs %3: %4"
